yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
1928,SLA,BAL,AL,St. Louis Browns,82,72,154,0.532,BAL,True,1954,True,False,,none
1929,SLA,BAL,AL,St. Louis Browns,79,73,152,0.52,BAL,True,1954,True,False,,none
1930,SLA,BAL,AL,St. Louis Browns,64,90,154,0.416,BAL,True,1954,True,False,,none
1931,SLA,BAL,AL,St. Louis Browns,63,91,154,0.409,BAL,True,1954,True,False,,none
1932,SLA,BAL,AL,St. Louis Browns,63,91,154,0.409,BAL,True,1954,True,False,,none
1933,SLA,BAL,AL,St. Louis Browns,55,96,151,0.364,BAL,True,1954,True,False,,none
1934,SLA,BAL,AL,St. Louis Browns,67,85,152,0.441,BAL,True,1954,True,False,,none
1935,SLA,BAL,AL,St. Louis Browns,65,87,152,0.428,BAL,True,1954,True,False,,none
1936,SLA,BAL,AL,St. Louis Browns,57,95,152,0.375,BAL,True,1954,True,False,,none
1937,SLA,BAL,AL,St. Louis Browns,46,108,154,0.299,BAL,True,1954,True,False,,none
1938,SLA,BAL,AL,St. Louis Browns,55,97,152,0.362,BAL,True,1954,True,False,,none
